Key Word,Category,Color
input, Test (Dark Yellow),15594767
[HISTORY],Section (Dark Blue),595655
[APPLICATION],Section (Dark Blue),595655
[GENERAL],Section (Dark Blue),595655
[REFERENCED_APPLICATIONS],Section (Dark Blue),595655
[CALL_VARIABLES],Section (Dark Blue),595655
[APPLICATION_VARIABLES],Section (Dark Blue),595655
[HOST_CONFIGURATION],Section (Dark Blue),595655
[PROMPTS,Section (Dark Blue),595655
[DIGIT_PROMPTS,Section (Dark Blue),595655
[SPEECH_VOCABULARY],Section (Dark Blue),595655
[EXTENSION_DB],Section (Dark Blue),595655
[ANI_MESSAGE_DB],Section (Dark Blue),595655
[ANI_OUTDIAL_DB],Section (Dark Blue),595655
[DNIS_MESSAGE_DB],Section (Dark Blue),595655
[DNIS_OUTDIAL_DB],Section (Dark Blue),595655
[DNIS_ANI_MESSAGE_DB],Section (Dark Blue),595655
[DNIS_ANI_OUTDIAL_DB],Section (Dark Blue),595655
[PEG_NAMES],Section (Dark Blue),595655
[DESTINATION],Section (Dark Blue),595655
[TIMEOFDAYGROUP],Section (Dark Blue),595655
[THROTTLEGROUP],Section (Dark Blue),595655
[END],Section (Dark Blue),595655
[PARAM_CALL_VARIABLES],Section (Dark Blue),595655
[PARAM_APPLICATION_VARIABLES],Section (Dark Blue),595655
[PROMPT ,Cell Type (Green),640809
[RECORD ,Cell Type (Green),640809
[MENU ,Cell Type (Green),640809
[CHOICE ,Cell Type (Green),640809
[THROTTLECHECK ,Cell Type (Green),640809
[TIMEOFDAYCHECK ,Cell Type (Green),640809
[TIMEOFDAYGROUP ,Cell Type (Green),640809
[OUTDIAL ,Cell Type (Green),640809
[PORTCONTROL ,Cell Type (Green),640809
[PORT_CONTROL ,Cell Type (Green),640809
[CALLTYPECHECK ,Cell Type (Green),640809
[TRANSFERTYPECHECK ,Cell Type (Green),640809
[CALLANDTRANSFERTYPECHECK ,Cell Type (Green),640809
[IF ,Cell Type (Green),640809
[PLAYDIGITS ,Cell Type (Green),640809
[ASSIGN ,Cell Type (Green),640809
[CDR ,Cell Type (Green),640809
[CONNECTED ,Cell Type (Green),640809
[GET_ARU ,Cell Type (Green),640809
[HOST_TRANSACTION ,Cell Type (Green),640809
[HOST_TRANSACTION_REPLY ,Cell Type (Green),640809
[HOST_MESSAGE ,Cell Type (Green),640809
[GET_OPERATOR ,Cell Type (Green),640809
[GET_OPERATOR_REQUEST ,Cell Type (Green),640809
[SEND_OPERATOR_REPLY ,Cell Type (Green),640809
[ABANDON_OPERATOR ,Cell Type (Green),640809
[THRESHOLD ,Cell Type (Green),640809
[CREATE_DYNAPROMPT ,Cell Type (Green),640809
[EVENT_CDR ,Cell Type (Green),640809
prompt,Variable Type,6176262
dynaPrompt,Variable Type,6176262
cell,Variable Type,6176262
boolean,Variable Type,6176262
number,Variable Type,6176262
name,Variable Type,6176262
bignumber,Variable Type,6176262
string,Variable Type,6176262
phone,Variable Type,6176262
port,Variable Type,6176262
portList,Variable Type,6176262
todGroup,Variable Type,6176262
peg,Variable Type,6176262
pegList,Variable Type,6176262
enum,Variable Type,6176262
=none,Special Value,13656004
=yes,Special Value,13656004
=no,Special Value,13656004
=in,Special Value,13656004
=out,Special Value,13656004
=out2,Special Value,13656004
=inband,Call Type,13656004
=normal,Call Type,13656004
=rlt,Call Type,13656004
=blind,Call Transfer Type,13656004
=preAnswer,Call Transfer Type,13656004
=postAnswer,Call Transfer Type,13656004
=bridge,Call Transfer Type,13656004
=consult,Call Transfer Type,13656004
=conference,Call Transfer Type,13656004
=ask,Call Transfer Type,13656004
=dtmf,Selection Method,13656004
=sivr,Selection Method,13656004
=sivrOneByOne,Selection Method,13656004
=auto,Selection Method,13656004
=autoOneByOne,Selection Method,13656004
=both,Selection Method,13656004
=bothOneByOne,Selection Method,13656004
=continuousSivr,Selection Method,13656004
=continuousAuto,Selection Method,13656004
=continuousBoth,Selection Method,13656004
=dtmf,Choice Type,13656004
=sivr,Choice Type,13656004
=both,Choice Type,13656004
=timeout,Choice Type,13656004
=invalid,Choice Type,13656004
=compute_dtmf,Choice Type,13656004
=compute_sivr,Choice Type,13656004
=compute_both,Choice Type,13656004
=timeout_retry,Choice Type,13656004
=invalid_retry,Choice Type,13656004
lastChange,History,14569542
name,Application,14569542
description,Application,14569542
filename,Application,14569542
id,Application,14569542
version,Application,14569542
startingCell,Application,14569542
serviceId,Application,14569542
billingTask,Application,14569542
cdrFormat,Application,14569542
cdrEnabled,Application,14569542
noInitialAru,Application,14569542
TouchToneUsed,General,14569542
SpeechRecUsed,General,14569542
minExtensionDigits,General,14569542
maxExtensionDigits,General,14569542
pegCountUsed,General,14569542
rdrEnabled,General,14569542
defaultCallType,General,14569542
customerServiceCdrEnabled,General,14569542
reference1=,Referenced_Application,14569542
reference2=,Referenced_Application,14569542
reference3=,Referenced_Application,14569542
reference4=,Referenced_Application,14569542
hostName1,Host_Configuration,14569542
hostName2,Host_Configuration,14569542
hostName3,Host_Configuration,14569542
hostName4,Host_Configuration,14569542
hostUpCell1,Host_Configuration,14569542
hostUpCell2,Host_Configuration,14569542
hostUpCell3,Host_Configuration,14569542
hostUpCell4,Host_Configuration,14569542
hostDownCell1,Host_Configuration,14569542
hostDownCell2,Host_Configuration,14569542
hostDownCell3,Host_Configuration,14569542
hostDownCell4,Host_Configuration,14569542
enabled,Time_Of_Day_Group,14569542
days,Time_Of_Day_Group,14569542
hours,Time_Of_Day_Group,14569542
timeZone,Time_Of_Day_Group,14569542
startingDate,Time_Of_Day_Group,14569542
endingDate,Time_Of_Day_Group,14569542
resetInterval,Destination,14569542
percent1,Destination,14569542
percent2,Destination,14569542
percent3,Destination,14569542
percent4,Destination,14569542
percent5,Destination,14569542
percent6,Destination,14569542
percent7,Destination,14569542
percent8,Destination,14569542
percent9,Destination,14569542
percent10,Destination,14569542
phone1,Destination,14569542
phone2,Destination,14569542
phone3,Destination,14569542
phone4,Destination,14569542
phone5,Destination,14569542
phone6,Destination,14569542
phone7,Destination,14569542
phone8,Destination,14569542
phone9,Destination,14569542
phone10,Destination,14569542
notThrottled,Throttle_Group,14569542
idEnabled,Cell_Variable (Cyan),7255282
idLevel,Cell_Variable (Cyan),7255282
reportId,Cell_Variable (Cyan),7255282
nextCell,Cell_Variable (Cyan),7255282
menuCell,Cell_Variable (Cyan),7255282
disabledPrompt,Cell_Variable (Cyan),7255282
interruptable,Cell_Variable (Cyan),7255282
speakOnlyIfNotInterrupted,Cell_Variable (Cyan),7255282
flushDigits,Cell_Variable (Cyan),7255282
introEnabled,Cell_Variable (Cyan),7255282
introPrompt,Cell_Variable (Cyan),7255282
promptEnabled,Cell_Variable (Cyan),7255282
prompt,Cell_Variable (Cyan),7255282
dtmfChoicePrompt,Cell_Variable (Cyan),7255282
sivrChoicePrompt,Cell_Variable (Cyan),7255282
appendDigitPrompt,Cell_Variable (Cyan),7255282
prependDigitPrompt,Cell_Variable (Cyan),7255282
choiceType,Cell_Variable (Cyan),7255282
choiceValue,Cell_Variable (Cyan),7255282
considerInSection1,Cell_Variable (Cyan),7255282
considerAfterFinalSection,Cell_Variable (Cyan),7255282
validIfStopDigitPressed,Cell_Variable (Cyan),7255282
validIfStopDigitNotPressed,Cell_Variable (Cyan),7255282
sivrPrefixPrompt,Cell_Variable (Cyan),7255282
dtmfPrefixPrompt,Cell_Variable (Cyan),7255282
sivrSuffixPrompt,Cell_Variable (Cyan),7255282
dtmfSuffixPrompt,Cell_Variable (Cyan),7255282
suffixPrompt,Cell_Variable (Cyan),7255282
timeoutPrompt,Cell_Variable (Cyan),7255282
retryPrompt,Cell_Variable (Cyan),7255282
replaceRetryPrompt,Cell_Variable (Cyan),7255282
stopOnTimeout,Cell_Variable (Cyan),7255282
stopOnInvalid,Cell_Variable (Cyan),7255282
stopDigits,Cell_Variable (Cyan),7255282
stripStopDigits,Cell_Variable (Cyan),7255282
stopDigitsToStrip,Cell_Variable (Cyan),7255282
maxRetries,Cell_Variable (Cyan),7255282
timeout,Cell_Variable (Cyan),7255282
onInvalidTimeout,Cell_Variable (Cyan),7255282
onTimeoutTimeout,Cell_Variable (Cyan),7255282
replaceTimeoutPrompt,Cell_Variable (Cyan),7255282
replaceRetryPrompt,Cell_Variable (Cyan),7255282
selectionMethod,Cell_Variable (Cyan),7255282
speechRecVocabulary,Cell_Variable (Cyan),7255282
choiceLenMin,Cell_Variable (Cyan),7255282
choiceLenMax,Cell_Variable (Cyan),7255282
callerHangupCell,Cell_Variable (Cyan),7255282
outPortHangupCell,Cell_Variable (Cyan),7255282
out2PortHangupCell,Cell_Variable (Cyan),7255282
numberOfDigitsInSection1=,Cell_Variable (Cyan),7255282
validateFunctionForSection1,Cell_Variable (Cyan),7255282
sivrGrammar,Cell_Variable (Cyan),7255282
sivrBargeIn,Cell_Variable (Cyan),7255282
sivrParameters,Cell_Variable (Cyan),7255282
sivrRecordUtterance,Cell_Variable (Cyan),7255282
sivrResultFormat,Cell_Variable (Cyan),7255282
sivrMinConfidenceScore,Cell_Variable (Cyan),7255282
